Pokemon,Move
bulbasaur,acidspray
bulbasaur,amnesia
bulbasaur,attract
bulbasaur,bide
bulbasaur,bind
bulbasaur,block
bulbasaur,bodyslam
bulbasaur,bulletseed
bulbasaur,captivate
bulbasaur,celebrate
bulbasaur,charm
bulbasaur,confide
bulbasaur,curse
bulbasaur,cut
bulbasaur,defensecurl
bulbasaur,doubleedge
bulbasaur,doubleteam
bulbasaur,echoedvoice
bulbasaur,endure
bulbasaur,energyball
bulbasaur,facade
bulbasaur,falseswipe
bulbasaur,flash
bulbasaur,frenzyplant
bulbasaur,frustration
bulbasaur,furycutter
bulbasaur,gigadrain
bulbasaur,grassknot
bulbasaur,grasspledge
bulbasaur,grasswhistle
bulbasaur,grassyglide
bulbasaur,grassyterrain
bulbasaur,growl
bulbasaur,growth
bulbasaur,headbutt
bulbasaur,helpinghand
bulbasaur,hiddenpower
bulbasaur,ingrain
bulbasaur,knockoff
bulbasaur,leafstorm
bulbasaur,leechseed
bulbasaur,lightscreen
bulbasaur,magicalleaf
bulbasaur,megadrain
bulbasaur,mimic
bulbasaur,mudslap
bulbasaur,naturalgift
bulbasaur,naturepower
bulbasaur,outrage
bulbasaur,petaldance
bulbasaur,poisonpowder
bulbasaur,powerwhip
bulbasaur,protect
bulbasaur,rage
bulbasaur,razorleaf
bulbasaur,razorwind
bulbasaur,reflect
bulbasaur,rest
bulbasaur,return
bulbasaur,rocksmash
bulbasaur,round
bulbasaur,safeguard
bulbasaur,secretpower
bulbasaur,seedbomb
bulbasaur,skullbash
bulbasaur,sleeppowder
bulbasaur,sleeptalk
bulbasaur,sludge
bulbasaur,sludgebomb
bulbasaur,snore
bulbasaur,solarbeam
bulbasaur,strength
bulbasaur,stringshot
bulbasaur,substitute
bulbasaur,sunnyday
bulbasaur,swagger
bulbasaur,sweetscent
bulbasaur,swordsdance
bulbasaur,synthesis
bulbasaur,tackle
bulbasaur,takedown
bulbasaur,terablast
bulbasaur,toxic
bulbasaur,trailblaze
bulbasaur,venoshock
bulbasaur,vinewhip
bulbasaur,weatherball
bulbasaur,workup
bulbasaur,worryseed
ivysaur,acidspray
ivysaur,amnesia
ivysaur,attract
ivysaur,bide
ivysaur,bind
ivysaur,bodyslam
ivysaur,bulletseed
ivysaur,captivate
ivysaur,charm
ivysaur,confide
ivysaur,curse
ivysaur,cut
ivysaur,defensecurl
ivysaur,doubleedge
ivysaur,doubleteam
ivysaur,echoedvoice
ivysaur,endure
ivysaur,energyball
ivysaur,facade
ivysaur,falseswipe
ivysaur,flash
ivysaur,frustration
ivysaur,furycutter
ivysaur,gigadrain
ivysaur,grassknot
ivysaur,grasspledge
ivysaur,grassyglide
ivysaur,grassyterrain
ivysaur,growl
ivysaur,growth
ivysaur,headbutt
ivysaur,helpinghand
ivysaur,hiddenpower
ivysaur,knockoff
ivysaur,leafstorm
ivysaur,leechseed
ivysaur,lightscreen
ivysaur,magicalleaf
ivysaur,megadrain
ivysaur,mimic
ivysaur,mudslap
ivysaur,naturalgift
ivysaur,naturepower
ivysaur,outrage
ivysaur,poisonpowder
ivysaur,powerwhip
ivysaur,protect
ivysaur,rage
ivysaur,razorleaf
ivysaur,reflect
ivysaur,rest
ivysaur,return
ivysaur,roar
ivysaur,rocksmash
ivysaur,round
ivysaur,safeguard
ivysaur,secretpower
ivysaur,seedbomb
ivysaur,sleeppowder
ivysaur,sleeptalk
ivysaur,sludgebomb
ivysaur,snore
ivysaur,solarbeam
ivysaur,strength
ivysaur,stringshot
ivysaur,substitute
ivysaur,sunnyday
ivysaur,swagger
ivysaur,sweetscent
ivysaur,swordsdance
ivysaur,synthesis
ivysaur,tackle
ivysaur,takedown
ivysaur,terablast
ivysaur,toxic
ivysaur,trailblaze
ivysaur,venoshock
ivysaur,vinewhip
ivysaur,weatherball
ivysaur,workup
ivysaur,worryseed
venusaur,acidspray
venusaur,amnesia
venusaur,attract
venusaur,bide
venusaur,bind
venusaur,block
venusaur,bodyslam
venusaur,bulldoze
venusaur,bulletseed
venusaur,captivate
venusaur,charm
venusaur,confide
venusaur,curse
venusaur,cut
venusaur,defensecurl
venusaur,doubleedge
venusaur,doubleteam
venusaur,earthpower
venusaur,earthquake
venusaur,echoedvoice
venusaur,endure
venusaur,energyball
venusaur,facade
venusaur,falseswipe
venusaur,flash
venusaur,frenzyplant
venusaur,frustration
venusaur,furycutter
venusaur,gigadrain
venusaur,gigaimpact
venusaur,grassknot
venusaur,grasspledge
venusaur,grassyglide
venusaur,grassyterrain
venusaur,growl
venusaur,growth
venusaur,headbutt
venusaur,helpinghand
venusaur,hiddenpower
venusaur,hyperbeam
venusaur,knockoff
venusaur,leafstorm
venusaur,leechseed
venusaur,lightscreen
venusaur,magicalleaf
venusaur,megadrain
venusaur,mimic
venusaur,mudslap
venusaur,naturalgift
venusaur,naturepower
venusaur,outrage
venusaur,petalblizzard
venusaur,petaldance
venusaur,poisonjab
venusaur,poisonpowder
venusaur,powerwhip
venusaur,protect
venusaur,rage
venusaur,razorleaf
venusaur,reflect
venusaur,rest
venusaur,return
venusaur,roar
venusaur,rockclimb
venusaur,rocksmash
venusaur,round
venusaur,safeguard
venusaur,scaryface
venusaur,secretpower
venusaur,seedbomb
venusaur,sleeppowder
venusaur,sleeptalk
venusaur,sludgebomb
venusaur,snore
venusaur,solarbeam
venusaur,stompingtantrum
venusaur,strength
venusaur,stringshot
venusaur,substitute
venusaur,sunnyday
venusaur,swagger
venusaur,sweetscent
venusaur,swordsdance
venusaur,synthesis
venusaur,tackle
venusaur,takedown
venusaur,terablast
venusaur,terrainpulse
venusaur,toxic
venusaur,trailblaze
venusaur,venoshock
venusaur,vinewhip
venusaur,weatherball
venusaur,workup
venusaur,worryseed
charmander,acrobatics
charmander,aerialace
charmander,aircutter
charmander,ancientpower
charmander,attract
charmander,beatup
charmander,bellydrum
charmander,bide
charmander,bite
charmander,blastburn
charmander,block
charmander,bodyslam
charmander,breakingswipe
charmander,brickbreak
charmander,captivate
charmander,celebrate
charmander,confide
charmander,counter
charmander,crunch
charmander,curse
charmander,cut
charmander,defensecurl
charmander,dig
charmander,doubleedge
charmander,doubleteam
charmander,dragonbreath
charmander,dragonclaw
charmander,dragondance
charmander,dragonpulse
charmander,dragonrage
charmander,dragonrush
charmander,dragontail
charmander,dynamicpunch
charmander,echoedvoice
charmander,ember
charmander,endure
charmander,facade
charmander,falseswipe
charmander,fireblast
charmander,firefang
charmander,firepledge
charmander,firepunch
charmander,firespin
charmander,flameburst
charmander,flamecharge
charmander,flamethrower
charmander,flareblitz
charmander,fling
charmander,focusblast
charmander,focuspunch
charmander,frustration
charmander,furycutter
charmander,furyswipes
charmander,growl
charmander,headbutt
charmander,heatwave
charmander,helpinghand
charmander,hiddenpower
charmander,honeclaws
charmander,howl
charmander,incinerate
charmander,inferno
charmander,irontail
charmander,leer
charmander,megakick
charmander,megapunch
charmander,metalclaw
charmander,mimic
charmander,mudslap
charmander,naturalgift
charmander,outrage
charmander,overheat
charmander,poweruppunch
charmander,protect
charmander,quickattack
charmander,rage
charmander,reflect
charmander,rest
charmander,return
charmander,roar
charmander,rockslide
charmander,rocksmash
charmander,rocktomb
charmander,round
charmander,scaryface
charmander,scratch
charmander,secretpower
charmander,seismictoss
charmander,shadowclaw
charmander,skullbash
charmander,slash
charmander,sleeptalk
charmander,smokescreen
charmander,snore
charmander,strength
charmander,submission
charmander,substitute
charmander,sunnyday
charmander,swagger
charmander,swift
charmander,swordsdance
charmander,takedown
charmander,temperflare
charmander,terablast
charmander,thunderpunch
charmander,toxic
charmander,weatherball
charmander,willowisp
charmander,wingattack
charmander,workup
charmeleon,acrobatics
charmeleon,aerialace
charmeleon,attract
charmeleon,beatup
charmeleon,bide
charmeleon,bodyslam
charmeleon,breakingswipe
charmeleon,brickbreak
charmeleon,captivate
charmeleon,confide
charmeleon,counter
charmeleon,crunch
charmeleon,curse
charmeleon,cut
charmeleon,defensecurl
charmeleon,dig
charmeleon,doubleedge
charmeleon,doubleteam
charmeleon,dragonbreath
charmeleon,dragonclaw
charmeleon,dragondance
charmeleon,dragonpulse
charmeleon,dragonrage
charmeleon,dragontail
charmeleon,dynamicpunch
charmeleon,echoedvoice
charmeleon,ember
charmeleon,endure
charmeleon,facade
charmeleon,falseswipe
charmeleon,fireblast
charmeleon,firefang
charmeleon,firepledge
charmeleon,firepunch
charmeleon,firespin
charmeleon,flameburst
charmeleon,flamecharge
charmeleon,flamethrower
charmeleon,flareblitz
charmeleon,fling
charmeleon,focusblast
charmeleon,focuspunch
charmeleon,frustration
charmeleon,furycutter
charmeleon,furyswipes
charmeleon,growl
charmeleon,headbutt
charmeleon,heatwave
charmeleon,helpinghand
charmeleon,hiddenpower
charmeleon,honeclaws
charmeleon,incinerate
charmeleon,inferno
charmeleon,irontail
charmeleon,leer
charmeleon,megakick
charmeleon,megapunch
charmeleon,metalclaw
charmeleon,mimic
charmeleon,mudslap
charmeleon,naturalgift
charmeleon,outrage
charmeleon,overheat
charmeleon,poweruppunch
charmeleon,protect
charmeleon,rage
charmeleon,reflect
charmeleon,rest
charmeleon,return
charmeleon,roar
charmeleon,rockslide
charmeleon,rocksmash
charmeleon,rocktomb
charmeleon,round
charmeleon,scaryface
charmeleon,scratch
charmeleon,secretpower
charmeleon,seismictoss
charmeleon,shadowclaw
charmeleon,skullbash
charmeleon,slash
charmeleon,sleeptalk
charmeleon,smokescreen
charmeleon,snore
charmeleon,strength
charmeleon,submission
charmeleon,substitute
charmeleon,sunnyday
charmeleon,swagger
charmeleon,swift
charmeleon,swordsdance
charmeleon,takedown
charmeleon,temperflare
charmeleon,terablast
charmeleon,thunderpunch
charmeleon,toxic
charmeleon,weatherball
charmeleon,willowisp
charmeleon,workup
charizard,acrobatics
charizard,aerialace
charizard,aircutter
charizard,airslash
charizard,attract
charizard,beatup
charizard,bellydrum
charizard,bide
charizard,blastburn
charizard,blazekick
charizard,bodyslam
charizard,breakingswipe
charizard,brickbreak
charizard,brutalswing
charizard,bulldoze
charizard,captivate
charizard,confide
charizard,counter
charizard,crunch
charizard,curse
charizard,cut
charizard,defensecurl
charizard,defog
charizard,dig
charizard,doubleedge
charizard,doubleteam
charizard,dragonbreath
charizard,dragoncheer
charizard,dragonclaw
charizard,dragondance
charizard,dragonpulse
charizard,dragonrage
charizard,dragontail
charizard,dualwingbeat
charizard,dynamicpunch
charizard,earthquake
charizard,echoedvoice
charizard,ember
charizard,endure
charizard,facade
charizard,falseswipe
charizard,fireblast
charizard,firefang
charizard,firepledge
charizard,firepunch
charizard,firespin
charizard,fissure
charizard,flameburst
charizard,flamecharge
charizard,flamethrower
charizard,flareblitz
charizard,fling
charizard,fly
charizard,focusblast
charizard,focuspunch
charizard,frustration
charizard,furycutter
charizard,furyswipes
charizard,gigaimpact
charizard,growl
charizard,headbutt
charizard,heatcrash
charizard,heatwave
charizard,helpinghand
charizard,hiddenpower
charizard,holdhands
charizard,honeclaws
charizard,hurricane
charizard,hyperbeam
charizard,incinerate
charizard,inferno
charizard,irontail
charizard,leer
charizard,megakick
charizard,megapunch
charizard,metalclaw
charizard,mimic
charizard,mudslap
charizard,mysticalfire
charizard,naturalgift
charizard,ominouswind
charizard,outrage
charizard,overheat
charizard,poweruppunch
charizard,protect
charizard,rage
charizard,reflect
charizard,rest
charizard,return
charizard,roar
charizard,rockslide
charizard,rocksmash
charizard,rocktomb
charizard,roost
charizard,round
charizard,sandstorm
charizard,scaleshot
charizard,scaryface
charizard,scorchingsands
charizard,scratch
charizard,secretpower
charizard,seismictoss
charizard,shadowclaw
charizard,skullbash
charizard,skydrop
charizard,slash
charizard,sleeptalk
charizard,smokescreen
charizard,snore
charizard,solarbeam
charizard,steelwing
charizard,strength
charizard,submission
charizard,substitute
charizard,sunnyday
charizard,swagger
charizard,swift
charizard,swordsdance
charizard,tailwind
charizard,takedown
charizard,temperflare
charizard,terablast
charizard,thunderpunch
charizard,toxic
charizard,twister
charizard,weatherball
charizard,willowisp
charizard,wingattack
charizard,workup
squirtle,aquajet
squirtle,aquaring
squirtle,aquatail
squirtle,attract
squirtle,aurasphere
squirtle,bide
squirtle,bite
squirtle,blizzard
squirtle,block
squirtle,bodyslam
squirtle,brickbreak
squirtle,brine
squirtle,bubble
squirtle,bubblebeam
squirtle,captivate
squirtle,celebrate
squirtle,chillingwater
squirtle,confide
squirtle,confusion
squirtle,counter
squirtle,curse
squirtle,defensecurl
squirtle,dig
squirtle,dive
squirtle,doubleedge
squirtle,doubleteam
squirtle,dragonpulse
squirtle,dynamicpunch
squirtle,endure
squirtle,facade
squirtle,fakeout
squirtle,falseswipe
squirtle,flail
squirtle,fling
squirtle,flipturn
squirtle,focuspunch
squirtle,followme
squirtle,foresight
squirtle,frustration
squirtle,gyroball
squirtle,hail
squirtle,haze
squirtle,headbutt
squirtle,helpinghand
squirtle,hiddenpower
squirtle,hydrocannon
squirtle,hydropump
squirtle,icebeam
squirtle,icepunch
squirtle,icespinner
squirtle,icywind
squirtle,irondefense
squirtle,irontail
squirtle,lifedew
squirtle,liquidation
squirtle,megakick
squirtle,megapunch
squirtle,mimic
squirtle,mirrorcoat
squirtle,mist
squirtle,muddywater
squirtle,mudshot
squirtle,mudslap
squirtle,mudsport
squirtle,naturalgift
squirtle,outrage
squirtle,poweruppunch
squirtle,protect
squirtle,rage
squirtle,raindance
squirtle,rapidspin
squirtle,reflect
squirtle,refresh
squirtle,rest
squirtle,return
squirtle,rockslide
squirtle,rocksmash
squirtle,rocktomb
squirtle,rollout
squirtle,round
squirtle,scald
squirtle,secretpower
squirtle,seismictoss
squirtle,shellsmash
squirtle,skullbash
squirtle,sleeptalk
squirtle,snore
squirtle,strength
squirtle,submission
squirtle,substitute
squirtle,surf
squirtle,swagger
squirtle,tackle
squirtle,tailwhip
squirtle,takedown
squirtle,terablast
squirtle,toxic
squirtle,waterfall
squirtle,watergun
squirtle,waterpledge
squirtle,waterpulse
squirtle,waterspout
squirtle,wavecrash
squirtle,weatherball
squirtle,whirlpool
squirtle,withdraw
squirtle,workup
squirtle,yawn
squirtle,zenheadbutt
wartortle,aquatail
wartortle,attract
wartortle,aurasphere
wartortle,bide
wartortle,bite
wartortle,blizzard
wartortle,bodyslam
wartortle,brickbreak
wartortle,brine
wartortle,bubble
wartortle,bubblebeam
wartortle,captivate
wartortle,chillingwater
wartortle,confide
wartortle,counter
wartortle,curse
wartortle,defensecurl
wartortle,dig
wartortle,dive
wartortle,doubleedge
wartortle,doubleteam
wartortle,dragonpulse
wartortle,dynamicpunch
wartortle,endure
wartortle,facade
wartortle,falseswipe
wartortle,fling
wartortle,flipturn
wartortle,focuspunch
wartortle,frustration
wartortle,gyroball
wartortle,hail
wartortle,haze
wartortle,headbutt
wartortle,helpinghand
wartortle,hiddenpower
wartortle,hydropump
wartortle,icebeam
wartortle,icepunch
wartortle,icespinner
wartortle,icywind
wartortle,irondefense
wartortle,irontail
wartortle,liquidation
wartortle,megakick
wartortle,megapunch
wartortle,mimic
wartortle,muddywater
wartortle,mudshot
wartortle,mudslap
wartortle,naturalgift
wartortle,outrage
wartortle,poweruppunch
wartortle,protect
wartortle,rage
wartortle,raindance
wartortle,rapidspin
